Year,Population,Metro Area
2010-12-31 00:00:00,5268860,"Atlanta-Sandy Springs-Marietta, GA"
2007-12-31 00:00:00,5267527,"Atlanta-Sandy Springs-Marietta, GA"
2004-12-31 00:00:00,5190444,"Houston-Baytown-Sugar Land, TX"
2006-12-31 00:00:00,5119641,"Atlanta-Sandy Springs-Marietta, GA"
2003-12-31 00:00:00,5084017,"Houston-Baytown-Sugar Land, TX"
2018-12-31 00:00:00,5012539,"Dallas-Plano-Irving, TX"
2002-12-31 00:00:00,4978638,"Houston-Baytown-Sugar Land, TX"
2005-12-31 00:00:00,4947012,"Atlanta-Sandy Springs-Marietta, GA"
2017-12-31 00:00:00,4922093,"Dallas-Plano-Irving, TX"
2018-12-31 00:00:00,4882624,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2018-12-31 00:00:00,4857962,"Phoenix-Mesa-Scottsdale, AZ"
2001-12-31 00:00:00,4851189,"Houston-Baytown-Sugar Land, TX"
2017-12-31 00:00:00,4842198,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2016-12-31 00:00:00,4821463,"Dallas-Plano-Irving, TX"
2004-12-31 00:00:00,4802300,"Atlanta-Sandy Springs-Marietta, GA"
2016-12-31 00:00:00,4793890,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2017-12-31 00:00:00,4761694,"Phoenix-Mesa-Scottsdale, AZ"
2015-12-31 00:00:00,4746414,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2000-12-31 00:00:00,4739414,"Houston-Baytown-Sugar Land, TX"
2015-12-31 00:00:00,4716682,"Dallas-Plano-Irving, TX"
2014-12-31 00:00:00,4694834,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2016-12-31 00:00:00,4675966,"Phoenix-Mesa-Scottsdale, AZ"
2003-12-31 00:00:00,4673146,"Atlanta-Sandy Springs-Marietta, GA"
2013-12-31 00:00:00,4637709,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2018-12-31 00:00:00,4622361,"Riverside-San Bernardino-Ontario, CA"
2014-12-31 00:00:00,4610754,"Dallas-Plano-Irving, TX"
2015-12-31 00:00:00,4581122,"Phoenix-Mesa-Scottsdale, AZ"
2017-12-31 00:00:00,4570427,"Riverside-San Bernardino-Ontario, CA"
2012-12-31 00:00:00,4565224,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2002-12-31 00:00:00,4555490,"Atlanta-Sandy Springs-Marietta, GA"
1999-12-31 00:00:00,4540138,"Houston-Baytown-Sugar Land, TX"
2016-12-31 00:00:00,4516744,"Riverside-San Bernardino-Ontario, CA"
2013-12-31 00:00:00,4512693,"Dallas-Plano-Irving, TX"
2014-12-31 00:00:00,4491423,"Phoenix-Mesa-Scottsdale, AZ"
2011-12-31 00:00:00,4484846,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2015-12-31 00:00:00,4465232,"Riverside-San Bernardino-Ontario, CA"
1998-12-31 00:00:00,4445918,"Houston-Baytown-Sugar Land, TX"
2012-12-31 00:00:00,4435338,"Dallas-Plano-Irving, TX"
2001-12-31 00:00:00,4432950,"Atlanta-Sandy Springs-Marietta, GA"
2014-12-31 00:00:00,4418731,"Riverside-San Bernardino-Ontario, CA"
2013-12-31 00:00:00,4404675,"Phoenix-Mesa-Scottsdale, AZ"
2010-12-31 00:00:00,4377008,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2013-12-31 00:00:00,4371914,"Riverside-San Bernardino-Ontario, CA"
2009-12-31 00:00:00,4364094,"Phoenix-Mesa-Scottsdale, AZ"
1997-12-31 00:00:00,4351339,"Houston-Baytown-Sugar Land, TX"
2011-12-31 00:00:00,4337685,"Dallas-Plano-Irving, TX"
2012-12-31 00:00:00,4336162,"Riverside-San Bernardino-Ontario, CA"
2012-12-31 00:00:00,4331053,"Phoenix-Mesa-Scottsdale, AZ"
2009-12-31 00:00:00,4326384,"Dallas-Plano-Irving, TX"
2011-12-31 00:00:00,4295341,"Riverside-San Bernardino-Ontario, CA"
2008-12-31 00:00:00,4287323,"Phoenix-Mesa-Scottsdale, AZ"
2000-12-31 00:00:00,4281905,"Atlanta-Sandy Springs-Marietta, GA"
2009-12-31 00:00:00,4276661,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
1996-12-31 00:00:00,4268132,"Houston-Baytown-Sugar Land, TX"
2011-12-31 00:00:00,4253825,"Phoenix-Mesa-Scottsdale, AZ"
2010-12-31 00:00:00,4235751,"Dallas-Plano-Irving, TX"
2008-12-31 00:00:00,4226684,"Dallas-Plano-Irving, TX"
2010-12-31 00:00:00,4224851,"Riverside-San Bernardino-Ontario, CA"
2008-12-31 00:00:00,4197726,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2010-12-31 00:00:00,4192887,"Phoenix-Mesa-Scottsdale, AZ"
1995-12-31 00:00:00,4191632,"Houston-Baytown-Sugar Land, TX"
2007-12-31 00:00:00,4175595,"Phoenix-Mesa-Scottsdale, AZ"
2007-12-31 00:00:00,4146564,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2009-12-31 00:00:00,4143113,"Riverside-San Bernardino-Ontario, CA"
2007-12-31 00:00:00,4131159,"Dallas-Plano-Irving, TX"
2018-12-31 00:00:00,4127734,"Philadelphia, PA"
1994-12-31 00:00:00,4127013,"Houston-Baytown-Sugar Land, TX"
2017-12-31 00:00:00,4114232,"Philadelphia, PA"
2006-12-31 00:00:00,4107820,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2016-12-31 00:00:00,4102702,"Philadelphia, PA"
2008-12-31 00:00:00,4092831,"Riverside-San Bernardino-Ontario, CA"
2015-12-31 00:00:00,4092295,"Philadelphia, PA"
2014-12-31 00:00:00,4082418,"Philadelphia, PA"
2005-12-31 00:00:00,4080935,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2013-12-31 00:00:00,4066780,"Philadelphia, PA"
1993-12-31 00:00:00,4058868,"Houston-Baytown-Sugar Land, TX"
2012-12-31 00:00:00,4052720,"Philadelphia, PA"
2007-12-31 00:00:00,4048913,"Riverside-San Bernardino-Ontario, CA"
2006-12-31 00:00:00,4046571,"Phoenix-Mesa-Scottsdale, AZ"
2011-12-31 00:00:00,4034123,"Philadelphia, PA"
2006-12-31 00:00:00,4028821,"Dallas-Plano-Irving, TX"
2004-12-31 00:00:00,4021141,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2009-12-31 00:00:00,4012573,"Philadelphia, PA"
2010-12-31 00:00:00,4008994,"Philadelphia, PA"
2008-12-31 00:00:00,3991897,"Philadelphia, PA"
1999-12-31 00:00:00,3988728,"Atlanta-Sandy Springs-Marietta, GA"
1992-12-31 00:00:00,3983375,"Houston-Baytown-Sugar Land, TX"
2007-12-31 00:00:00,3969582,"Philadelphia, PA"
2006-12-31 00:00:00,3968504,"Riverside-San Bernardino-Ontario, CA"
2003-12-31 00:00:00,3958601,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2006-12-31 00:00:00,3946328,"Philadelphia, PA"
2005-12-31 00:00:00,3929505,"Philadelphia, PA"
2004-12-31 00:00:00,3914630,"Philadelphia, PA"
2005-12-31 00:00:00,3903327,"Dallas-Plano-Irving, TX"
2002-12-31 00:00:00,3899833,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
