germ	lingwistyka	u(germ)	u(ling)
56.36	73.53	2	1
85.34	73.48	1	2
88.27	73.45	1	2
99.39	73.4	1	2
55.95	73.3	2	1
66.37	73.24	2	1
51.88	73.24	2	1
63.95	73.23	2	1
50.14	73.19	2	1
53.56	73.18	2	1
58.13	73.16	2	1
53.58	73.16	2	1
88.84	73.1	1	2
64.83	73.01	2	1
67.92	73	2	1
84.07	72.9	1	2
57.63	72.89	2	1
54.55	72.86	2	1
87.39	72.79	1	2
59.74	72.69	2	1
88.61	72.68	1	2
78.09	72.64	1	2
83.49	72.64	1	2
93	72.62	1	2
64.11	72.6	2	1
85.18	72.55	1	2
70.13	72.55	2	1
61.15	72.55	2	1
82.2	72.53	1	2
54.46	72.51	2	1
69.54	72.5	2	1
64.38	72.48	2	1
60.37	72.44	2	1
72.42	72.42	2	1
93.18	72.29	1	2
88.09	72.28	1	2
69.81	72.27	2	1
67.72	72.26	2	1
55.7	72.21	2	1
72.26	72.2	1	2
83.98	72.19	1	2
70.49	72.17	2	1
90.68	72.16	1	2
66.84	72.13	2	1
62.37	72.12	2	1
84.68	72.11	1	2
73.04	72	1	2
94.02	71.95	1	2
55.36	71.85	2	1
72.81	71.85	1	2
71.84	71.76	1	2
78.31	71.66	1	2
73.91	71.65	1	2
61.03	71.62	2	1
70.58	71.57	2	1
92.03	71.53	1	2
83.7	71.48	1	2
94.78	71.46	1	2
80.41	71.45	1	2
84.45	71.42	1	2
77.07	71.36	1	2
97.22	71.35	1	2
73.47	71.33	1	2
60.91	71.25	2	1
59.07	71.25	2	1
73.49	71.2	1	2
83.92	71.19	1	2
93.38	71.18	1	2
76.87	71.1	1	2
94.62	71.08	1	2
73.96	71.08	1	2
51.66	71.06	2	1
75.43	71.04	1	2
82.5	71.01	1	2
70.95	71	2	1
72.44	70.95	1	2
98.41	70.87	1	2
73.25	70.87	1	2
75.44	70.86	1	2
81.45	70.79	1	2
77.24	70.77	1	2
74.9	70.74	1	2
75.55	70.68	1	2
51.2	70.65	2	1
95.05	70.63	1	2
63.52	70.5	2	1
80.94	70.46	1	2
68.88	70.41	2	1
63.82	70.39	2	1
60.48	70.35	2	1
66.81	70.32	2	1
60.84	70.17	2	1
66.56	70.16	2	1
92.87	70.15	1	2
99.66	70.04	1	2
53.22	70.04	2	1
97.28	70.02	1	2
80.1	69.97	1	2
60.97	69.91	2	1
72.86	69.88	1	2
57.66	69.86	2	1
77.11	69.85	1	2
71.67	69.79	1	2
78.01	69.79	1	2
63.6	69.71	2	1
60.7	69.55	2	1
77.04	69.52	1	2
67.59	69.51	2	1
87.36	69.5	1	2
52.34	69.48	2	1
53.01	69.48	2	1
59.65	69.43	2	1
98.78	69.35	1	2
57.09	69.3	2	1
65.24	69.29	2	1
95.05	69.23	1	2
92.72	69.18	1	2
87.45	69.12	1	2
70.13	69.12	1	2
75.9	69.09	1	2
87.69	69.08	1	2
78.64	69.07	1	2
86.97	69.04	1	2
72.61	68.96	1	2
75.03	68.88	1	2
71.88	68.85	1	2
53.29	68.8	2	1
91.98	68.8	1	2
81.23	68.79	1	2
92.43	68.79	1	2
55.25	68.75	2	1
61.05	68.75	2	1
56.2	68.66	2	1
65.89	68.56	2	1
89.95	68.55	1	2
57.35	68.48	2	1
96.76	68.46	1	2
68.8	68.45	1	2
78.27	68.44	1	2
53.8	68.41	2	1
97.3	68.38	1	2
90.19	68.37	1	2
60.65	68.35	2	1
72.11	68.23	1	2
69.57	68.22	1	2
92.02	68.21	1	2
80.35	68.17	1	2
84.31	68.09	1	2
68	68.09	2	1
79.52	67.93	1	2
66.06	67.85	2	1
98.96	67.81	1	2
61.04	67.8	2	1
76.9	67.77	1	2
69.06	67.7	1	2
89.22	67.67	1	2
70.81	67.62	1	2
79.73	67.59	1	2
75.43	67.58	1	2
64.32	67.5	2	1
68.18	67.5	1	2
85.78	67.45	1	2
52.4	67.44	2	1
73.67	67.4	1	2
85.61	67.37	1	2
93.09	67.33	1	2
94.27	67.2	1	2
69.25	67.19	1	2
57.37	67.11	2	1
78.2	67.06	1	2
81.69	67.01	1	2
64.08	66.91	2	1
51.88	66.89	2	1
88.3	66.86	1	2
99.64	66.85	1	2
71.01	66.81	1	2
99.58	66.75	1	2
71.04	66.7	1	2
74.27	66.69	1	2
60.58	66.65	2	1
53.87	66.63	2	1
66.98	66.61	1	2
67.28	66.59	1	2
86.56	66.43	1	2
53.93	66.38	2	1
93.58	66.33	1	2
88.54	66.3	1	2
51.15	66.27	2	1
90.9	66.26	1	2
94.52	66.21	1	2
61.17	66.17	2	1
86.41	66.14	1	2
68.8	66.13	1	2
76.65	66.12	1	2
70.93	66.12	1	2
95.45	66	1	2
87.4	65.98	1	2
99.99	65.97	1	2
55.72	65.96	2	1
78.91	65.87	1	2
53.32	65.85	2	1
88.23	65.85	1	2
59.55	65.75	2	1
88.7	65.58	1	2
71.9	65.55	1	2
57.65	65.51	2	1
65.15	65.51	2	1
91.09	65.49	1	2
59.66	65.48	2	1
50.99	65.43	2	1
80.43	65.42	1	2
68.03	65.41	1	2
85.48	65.31	1	2
88.63	65.3	1	2
70.6	65.29	1	2
57.83	65.22	2	1
58.13	65.07	2	1
57.07	65	2	1
60.96	64.95	2	1
87.51	64.9	1	2
96.79	64.85	1	2
84.37	64.82	1	2
93.42	64.71	1	2
92.84	64.67	1	2
76.23	64.56	1	2
90	64.48	1	2
95.95	64.47	1	2
77.89	64.47	1	2
89.04	64.47	1	2
53.84	64.45	2	1
83.11	64.43	1	2
88.79	64.33	1	2
89.54	64.3	1	2
84.03	64.28	1	2
63.01	64.26	2	1
51.26	64.17	2	1
84.53	64.15	1	2
82.13	64.02	1	2
64.97	64.02	1	2
64.33	63.97	1	2
97.62	63.95	1	2
99.71	63.93	1	2
99.66	63.93	1	2
82.48	63.9	1	2
69.5	63.88	1	2
93.15	63.79	1	2
65.55	63.78	1	2
54.15	63.68	2	1
55.67	63.62	2	1
90.6	63.46	1	2
80.78	63.4	1	2
67.65	63.39	1	2
60.13	63.39	2	1
75.7	63.28	1	2
52.66	63.24	2	1
50.44	63.21	2	1
83.95	63.16	1	2
96.71	63.14	1	2
55.1	63.1	2	1
76.26	63.07	1	2
73.18	63.04	1	2
96.17	63.01	1	2
53.88	63	2	1
95.93	62.98	1	2
73.4	62.95	1	2
61.81	62.91	2	1
56.27	62.89	2	1
50.22	62.89	2	1
95.32	62.8	1	2
91.65	62.78	1	2
66.54	62.75	1	2
87.56	62.63	1	2
53.86	62.62	2	1
52.27	62.6	2	1
60.84	62.53	2	1
63.52	62.44	1	2
67.76	62.43	1	2
61.12	62.32	2	1
98.2	62.31	1	2
73.02	62.29	1	2
57.51	62.28	2	1
63.66	62.21	1	2
71.96	62.17	1	2
55	62.05	2	1
55.73	61.97	2	1
78.82	61.93	1	2
86.14	61.82	1	2
80.67	61.81	1	2
59.6	61.76	2	1
70.52	61.59	1	2
99.57	61.5	1	2
53.21	61.4	2	1
80.22	61.34	1	2
52.41	61.31	2	1
91.53	61.25	1	2
90.81	61.12	1	2
59.74	61.06	2	1
77.78	60.82	1	2
72.13	60.7	1	2
53.43	60.67	2	1
66.85	60.65	1	2
96.07	60.65	1	2
68.36	60.54	1	2
56.26	60.5	2	1
64.47	60.31	1	2
74.76	60.31	1	2
50.33	60.3	2	1
58.48	60.16	2	1
95.09	60.08	1	2
61.05	60.02	1	2
77.85	59.97	1	2
56.34	59.93	2	1
87.67	59.93	1	2
64.51	59.88	1	2
92.05	59.84	1	2
89.69	59.81	1	2
92.42	59.66	1	2
85.47	59.59	1	2
88.15	59.57	1	2
76.35	59.56	1	2
63.39	59.56	1	2
64.54	59.48	1	2
50.56	59.35	2	1
90.41	59.32	1	2
81.06	59.18	1	2
66.4	59.06	1	2
60.6	58.91	1	2
66.49	58.78	1	2
58.25	58.74	2	1
76.7	58.7	1	2
60.83	58.63	1	2
94.05	58.57	1	2
78.88	58.53	1	2
51.77	58.47	2	1
72.23	58.43	1	2
52.62	58.36	2	1
73.1	58.27	1	2
77.3	58.23	1	2
65.14	58.15	1	2
84.85	58.1	1	2
57.96	57.68	1	2
96.04	57.54	1	2
95.22	57.36	1	2
66.66	57.24	1	2
67.79	57.2	1	2
84.77	57.16	1	2
51.16	57.14	2	1
90.17	57.14	1	2
87.11	56.8	1	2
62.05	56.73	1	2
91.84	56.73	1	2
66.89	56.67	1	2
52.05	56.64	2	1
70.66	56.61	1	2
51	56.47	2	1
69.82	56.06	1	2
85.66	56.05	1	2
88.54	56.01	1	2
80.92	55.91	1	2
86.51	55.83	1	2
84.9	55.78	1	2
95.63	55.78	1	2
51.38	55.62	2	1
72.01	55.56	1	2
89.58	55.37	1	2
67.15	55.29	1	2
80.98	55.27	1	2
73.74	55.27	1	2
86.2	55.21	1	2
93.55	55.12	1	2
82.95	54.81	1	2
90.64	54.55	1	2
72.46	54.47	1	2
78.41	54.4	1	2
84.55	54.2	1	2
93.36	54.2	1	2
54.37	54.18	1	2
78.11	54.17	1	2
87	54.08	1	2
75.94	54.05	1	2
77.89	53.91	1	2
55.5	53.69	1	2
85.78	53.63	1	2
73.92	53.51	1	2
87.88	53.48	1	2
95.71	53.41	1	2
65.85	53.37	1	2
54.15	53.33	1	2
74.87	53.16	1	2
64.33	53.1	1	2
67.28	53	1	2
68.94	52.99	1	2
79.37	52.76	1	2
81.73	52.7	1	2
85.45	52.65	1	2
87.79	52.48	1	2
61.83	51.95	1	2
88.65	51.71	1	2
57.42	51.66	1	2
96.39	51.6	1	2
63.05	51.51	1	2
91.99	51.51	1	2
53.84	51.42	1	2
58.4	51.15	1	2
60.9	51	1	2
76.83	50.63	1	2
68.17	50.57	1	2
98.06	50.54	1	2
87.15	50.31	1	2
82.09	50	1	2
